"STATISTIC","Statistic Label","TLIST(A1)","Year","C02583V03135","NACE Group","UNIT","VALUE"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base Year 2021=100","95.5"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","4719","Department stores (4719)","Base Year 2021=100","114.1"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","4730","Retail sale of automotive fuel (4730)","Base Year 2021=100","105.5"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","4752","Retail sale of hardware, paints and glass (4752)","Base Year 2021=100","95.3"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","4759","Retail sale of furniture and lighting (4759)","Base Year 2021=100","120.2"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","5630","Bars (5630)","Base Year 2021=100","189.7"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","V3970","All retail businesses","Base Year 2021=100","112.8"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","V3980","Motor trades and automotive fuel (45,4730)","Base Year 2021=100","110.6"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1310","All retail businesses, excluding motor trades and bars","Base Year 2021=100","109.8"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1320","All retail businesses, excluding motor trades","Base Year 2021=100","113"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base Year 2021=100","110"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1340","Retail sale of food (4711,4721 to 4729)","Base Year 2021=100","94.5"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base Year 2021=100","119.6"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base Year 2021=100","84.2"
"RSA08C02","Retail Sales Index Volume Unadjusted","2024","2024","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base Year 2021=100","100.7"
